UniProt ID	Gene	pLDDT	UniProt Annotation	Swiss-Prot	UniProt	AlphaFold-Proteomes	Most frequent hit	Most frequent hit n
A0A644F099	GL50803_11499	86.41	Ankyrin repeat protein 1	Receptor-interacting serine/threonine-protein kinase 4	Kinase, NEK	Ankyrin repeat-containing protein ITN1	ANK_REP_REGION domain-containing protein	102
A0A644F0U1	GL50803_16607	72.17	mRNA 5'-phosphatase	mRNA-capping enzyme subunit beta	Polynucleotide 5'-triphosphatase	mRNA-capping enzyme subunit beta	mRNA-capping enzyme subunit beta	245
A0A644F0Z6	GL50803_20603	70.36	Cgr1 family protein	None	Coiled-coil domain-containing protein 86	None	Coiled-coil domain-containing protein 86	51
A0A644F164	GL50803_15097	92.89	Alpha-14 giardin	Annexin E1	Annexin A5	Annexin A2	Annexin	740
A0A644F1B7	GL50803_103855	61.96	Vacuolar protein sorting-associated protein 29	Vacuolar protein sorting-associated protein 29	Vacuolar protein sorting-associated protein 29	Vacuolar protein sorting-associated protein 29	Vacuolar protein sorting-associated protein 29	43
A0A644F0L5	GL50803_26364	55.69	Uncharacterized protein	Nuclear autoantigenic sperm protein	Tfp pilus assembly protein PilF	Nuclear autoantigenic sperm protein	Tetratricopeptide repeat protein	217
A0A644F0H5	GL50803_40692	81.99	RWD domain-containing protein	RWD domain-containing protein 1	RWD domain-containing protein	FI08802p	RWD domain-containing protein	309
A0A644F0E8	GL50803_17505	56.11	Cyclin B-like protein	G2/mitotic-specific cyclin-B	Cyclin B-like protein	G2/mitotic-specific cyclin S13-7	Cyclin N-terminal domain-containing protein	239
A0A644F0I5	GL50803_23015	69.31	Serine palmitoyltransferase 1	Long chain base biosynthesis protein 1	Serine palmitoyltransferase 1	Long chain base biosynthesis protein 1	8-amino-7-oxononanoate synthase	388
A0A644F0L1	GL50803_5806	60.68	Ankyrin repeat protein 1	KN motif and ankyrin repeat domain-containing protein 2	Ankyrin_rpt-contain_dom domain-containing protein	Unplaced genomic scaffold supercont1.5, whole genome shotgun sequence	Ankyrin_rpt-contain_dom domain-containing protein	28
A0A644F189	GL50803_15500	86.85	Mitosis protein DIM1	Spliceosomal protein DIB1	Mitosis protein dim1	Spliceosomal protein DIB1	Thioredoxin	363
A0A644F0J7	GL50803_114307	78.47	Kinase, NEK	Serine/threonine-protein kinase Nek1	NIMA (Never in mitosis protein a)-related kinase	Serine/threonine-protein kinase Nek3	Protein kinase domain-containing protein	362
A0A644F222	GL50803_13601	62.88	Uncharacterized protein	None	None	None	None	0
A0A644F244	GL50803_61026	62.01	MIF4G domain-containing protein	None	None	None	None	0
A0A644F1U9	GL50803_14436	58.42	Kinase, STE STE20	Serine/threonine-protein kinase PAK mbt	p21 protein (Cdc42/Rac)-activated kinase 4	Non-specific serine/threonine protein kinase	Non-specific serine/threonine protein kinase	261
A0A644F297	GL50803_16287	60.62	Outer dynein arm-docking complex subunit 4	Protein clueless	Peptidylprolyl isomerase	Peptidylprolyl isomerase	Tetratricopeptide repeat protein	192
A0A644F1L8	GL50803_14970	56.08	Uncharacterized protein	None	Chromosome segregation protein SMC	None	Chromosome segregation protein SMC	1
A0A644F1I1	GL50803_7573	61.25	Hydroxymethylglutaryl-coenzyme A reductase	3-hydroxy-3-methylglutaryl-coenzyme A reductase	3-hydroxy-3-methylglutaryl coenzyme A reductase	3-hydroxy-3-methylglutaryl coenzyme A reductase	3-hydroxy-3-methylglutaryl coenzyme A reductase	24
A0A644F1N7	GL50803_17081	37.96	Uncharacterized protein	None	None	None	None	0
A0A644F1R1	GL50803_112681	81.31	Vesicle-fusing ATPase	Vesicle-fusing ATPase	Vesicle-fusing ATPase	Vesicle-fusing ATPase	AAA domain-containing protein	362
A0A644F215	GL50803_4936	35.82	Uncharacterized protein	None	None	None	None	0
A0A644F1H6	GL50803_101768	34.98	Uncharacterized protein	None	Crossover junction endodeoxyribonuclease RuvC	None	Crossover junction endodeoxyribonuclease RuvC	9
A0A644F1Q0	GL50803_6509	72.21	High cysteine membrane protein	Attractin-like protein 1	Notch-like protein	Si:dkey-88l16.5	EGF-like domain-containing protein	95
A0A644F288	GL50803_101380	88.77	VSP	Epidermal growth factor receptor	VSP	None	Variant-specific surface protein	192
A0A644F201	GL50803_14552	72.99	Uncharacterized protein	None	None	None	None	0
A0A644F1I2	GL50803_4248	86.45	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1	557
A0A644F233	GL50803_95639	63.23	Coiled-coil protein	None	None	None	None	0
A0A644F1T3	GL50803_14971	62.63	SMC family protein	None	Protein transport protein BOS1	None	Protein transport protein BOS1	1
A0A644F211	GL50803_16905	81.99	DinF protein	Multidrug export protein MepA	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	DNA-damage-inducible protein	Protein DETOXIFICATION	207
A0A644F1K6	GL50803_91761	80.31	Sec1	Protein SLY1	Sec1-like protein	Syntaxin-binding protein	Sec1-like protein	57
A0A644F271	GL50803_16326	85.87	Ankyrin repeat protein 1	Ankyrin repeat domain-containing protein 6	Ankyrin repeat domain-containing protein	Ankyrin repeat domain-containing protein 6	Ankyrin_rpt-contain_dom domain-containing protein	91
A0A644F1W6	GL50803_50366	78.72	VSP with INR	None	None	None	None	0
A0A644F239	GL50803_22138	89.84	Recombination factor protein RarA	ATPase WRNIP1	Replication-associated recombination protein A	AAA domain-containing protein	DNA polymerase III subunit gamma/tau	345
A0A644F1Y4	GL50803_27520	72.64	Kinase, CMGC CK2	Casein kinase II subunit alpha-3	Casein kinase II subunit alpha	Protein kinase domain-containing protein	Protein kinase domain-containing protein	489
A0A644F266	GL50803_8208	72.22	Adenoside deaminase/Cytosine deaminase	tRNA-specific adenosine deaminase subunit tad3	Cytosine/adenosine deaminase	CMP/dCMP-type deaminase domain-containing protein	tRNA-specific adenosine deaminase	762
A0A644F1V4	GL50803_61419	75.04	Ankyrin repeat protein 1	Nuclear factor NF-kappa-B p105 subunit	Ankyrin domain protein	KN motif and ankyrin repeat domain-containing protein 2	Ankyrin_rpt-contain_dom domain-containing protein	49
A0A644F1Y9	GL50803_137730	59.34	Kinase	Probable serine/threonine-protein kinase IKS1	Protein kinase domain-containing protein	Unplaced genomic scaffold supercont1.2, whole genome shotgun sequence	Protein kinase domain-containing protein	229
A0A644F228	GL50803_7534	50.9	Uncharacterized protein	Nucleolar protein dnt1	Cytokin_check_N domain-containing protein	Nucleolar protein dnt1	Ubiquitin-like domain-containing protein	75
A0A644F279	GL50803_13329	70.94	Uncharacterized protein	CASP-like protein UU-1	MCE family protein	LD04844p	Diablo homolog, mitochondrial	27
A0A644F232	GL50803_40244	85.25	Emp24/gp25L/p24 family/GOLD protein	Transmembrane emp24 domain-containing protein eca	Erp6/Erp1	Emp24/gp25L/p24 family protein	GOLD domain-containing protein	426
A0A644F1F9	GL50803_112059	56.42	Uncharacterized protein	Cell wall synthesis protein KNH1	Tenascin-X	Purple acid phosphatase	Glycoside hydrolase family 2	19
A0A644F1W7	GL50803_8394	93.2	Rdx family protein	Migration and invasion enhancer 1	Rdx family protein	Selenoprotein W, 2b	SelT/SelW/SelH family protein	144
A0A644F282	GL50803_16289	41.25	Uncharacterized protein	None	Seryl-tRNA synthetase	None	Seryl-tRNA synthetase	1
A0A644F1X6	GL50803_60969	88.28	Integral membrane protein	Solute carrier family 35 member F6	PALP domain-containing protein	Solute carrier family 35 member F6	TPT domain-containing protein	147
A0A644F202	GL50803_95904	86.65	Amino acid transporter system N2	Sodium-coupled neutral amino acid transporter 5	Solute carrier family 38 member 5	Aa_trans domain-containing protein	Aa_trans domain-containing protein	179
A0A644F1T5	GL50803_60974	75.89	Uncharacterized protein	None	None	None	None	0
A0A644F1R5	GL50803_4498	70.98	Cleavage and polyadenylation specificity factor	Cleavage and polyadenylation specificity factor subunit 3	Cleavage and polyadenylation specificity factor subunit 3-like	Cleavage and polyadenylation-specific factor 3	MBL fold metallo-hydrolase	221
A0A644F2H0	GL50803_12953	30.97	Uncharacterized protein	None	None	None	None	0
A0A644F2P0	GL50803_137740	79.98	VSP	None	Variant-specific surface protein	None	Variant-specific surface protein	2
A0A644F3L4	GL50803_86520	35.2	Spindle pole body component	None	None	None	None	0
A0A644F3W3	GL50803_50317	84.79	VSP	Major surface-labeled trophozoite antigen 417	VSP	None	Variant-specific surface protein	124
A0A644F357	GL50803_10014	69.89	Uncharacterized protein	None	None	None	None	0
A0A644F2H6	GL50803_61054	86.7	Isoamyl-acetate hydrolyzing esterase-like protein	Isoamyl acetate-hydrolyzing esterase 1 homolog	Isoamyl-acetate hydrolyzing esterase-like protein	Isoamyl acetate-hydrolyzing esterase 1 homolog	SGNH_hydro domain-containing protein	314
A0A644F3R5	GL50803_101765	84.88	VSP	Major surface-labeled trophozoite antigen 417	VSP	R-spondin-3	Variant-specific surface protein	177
A0A644F391	GL50803_40224	88.49	Transporter, MFS superfamily protein	Probable transport protein HsrA	Drug resistance protein YOR378W	Aminotriazole resistance protein	MFS transporter	331
A0A644F3S1	GL50803_17091	88.01	Exosome complex exonuclease	Exosome complex component RRP40	Exosome complex RNA-binding protein, Rrp4 subunit	Ribosomal RNA-processing protein 40	Polyribonucleotide nucleotidyltransferase	773
A0A644F320	GL50803_15525	84.4	Uncharacterized protein	TATA-box-binding protein	TATA-box-binding protein	TATA-binding protein-related	TATA-box-binding protein	111
A0A644F3T1	GL50803_4708	66.29	Chromosome segregation protein SMC	None	Chromosome partition protein Smc	None	Chromosome partition protein Smc	1
A0A644F2E6	GL50803_3098	84.53	Interferon-related developmental regulator family protein	Interferon-related developmental regulator 2	IFRD domain-containing protein	Interferon-related developmental regulator 2	Tetratricopeptide repeat protein	40
A0A644F3Y9	GL50803_12174	81.41	GPI mannosyltransferase 2	GPI mannosyltransferase 2	GPI mannosyltransferase 2	GPI mannosyltransferase 2	PMT_2 domain-containing protein	340
A0A644F300	GL50803_4838	60.09	Translation initiation factor eIF-2B delta subunit	Translation initiation factor eIF-2B subunit alpha	IF-2B-domain-containing protein	Methylthioribose-1-phosphate isomerase	Methylthioribose-1-phosphate isomerase	43
A0A644F2B5	GL50803_61043	40.39	Uncharacterized protein	None	FHA domain-containing protein	None	FHA domain-containing protein	1
A0A644F3C9	GL50803_6544	49.54	Spindle pole protein	None	None	None	None	0
A0A644F2Z7	GL50803_11557	53.63	Membrane associated protein	Nucleolar complex-associated protein 3	Noc3l protein	Nucleolar complex-associated protein 3	Nucleolar complex-associated protein 3	2
A0A644F3D5	GL50803_61105	75.26	XPG N-terminal domain-containing protein	Protein asteroid homolog 1	Protein asteroid-like 1	Protein asteroid homolog 1	Exonuclease 1	560
A0A644F3P0	GL50803_12028	78.09	Ankyrin repeat protein 1	Ankyrin repeat domain-containing protein 62	Ankyrin repeat-containing domain protein	Ankyrin repeat domain-containing protein 36C	Ankyrin_rpt-contain_dom domain-containing protein	25
A0A644F2V0	GL50803_6185	86.97	AAA domain-containing protein	Probable thymidylate kinase	AAA_28 domain-containing protein	dNK domain-containing protein	Shikimate kinase	367
A0A644F389	GL50803_16039	66.7	Coiled-coil protein	Trichocyst matrix protein T2-C	DUF4114 domain-containing protein	Kinesin-like protein bimC	Methyl-accepting chemotaxis protein	175
A0A644F2T9	GL50803_23314	73.82	Ankyrin repeat protein 1	Inversin	Protein 21.1	Ankyrin repeat domain 44	Protein kinase domain-containing protein	277
A0A644F3T9	GL50803_23552	86.41	Uncharacterized protein	None	None	None	None	0
A0A644F3S6	GL50803_4984	41.94	Uncharacterized protein	None	None	None	None	0
A0A644F3C3	GL50803_7396	68.91	Uncharacterized protein	Protein chibby homolog 1	Predicted protein	Protein chibby homolog 1	Chibby family member 1, beta catenin antagonist	3
A0A644F390	GL50803_19378	48.85	Uncharacterized protein	None	None	None	None	0
A0A644F3V3	GL50803_4355	94.41	Nif3-related protein	GTP cyclohydrolase 1 type 2 homolog	Nif3-related protein	GTP cyclohydrolase 1 type 2 homolog	GTP cyclohydrolase 1 type 2 homolog	410
A0A644F3K2	GL50803_31339	72.24	TB2/DP1, HVA22 family protein	Receptor expression-enhancing protein 5	Receptor expression-enhancing protein	Protein YOP1	HVA22-like protein	118
A0A644F2H1	GL50803_114776	80.65	Vesicle-fusing ATPase	Vesicle-fusing ATPase	Vesicle-fusing ATPase	Vesicle-fusing ATPase	AAA domain-containing protein	356
A0A644F364	GL50803_113797	87.37	VSP with INR	Major surface-labeled trophozoite antigen 417	Major surface-labeled trophozoite antigen 417	R-spondin 2	Variant-specific surface protein	207
A0A644F348	GL50803_13215	80.67	Kinase, NEK	Probable serine/threonine-protein kinase nek2	Other NEK kinase	NIMA (Never in mitosis gene a)-related kinase 2	Non-specific serine/threonine protein kinase	467
A0A644F2A0	GL50803_61420	84.48	Ankyrin repeat protein 1	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	Protein 21.1	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	Ankyrin_rpt-contain_dom domain-containing protein	93
A0A644F3E9	GL50803_19259	56.72	Transmembrane protein	None	Transmembrane domain-containing protein	None	Transmembrane domain-containing protein	2
A0A644F2V1	GL50803_15427	84.4	Trophozoite antigen GTA-2	NADPH-dependent butanol dehydrogenase	Trophozoite antigen GTA-2	Propanol dehydrogenase	Iron-containing alcohol dehydrogenase	284
A0A644F2H3	GL50803_17624	76.06	Outer dynein arm-docking complex subunit 4	LON peptidase N-terminal domain and RING finger protein 3	Unannotated protein	Ankyrin-1	Tetratricopeptide repeat protein	193
A0A644F3R9	GL50803_119224	82.75	Cathepsin B-like cysteine proteinase	Cathepsin B-like protease 2	Pept_C1 domain-containing protein	Cathepsin B-like protease 2	Pept_C1 domain-containing protein	203
A0A644F3Q5	GL50803_13800	43.33	Ankyrin repeat protein 1	Nuclear factor NF-kappa-B p105 subunit	Ankyrin repeat domain-containing protein	ANK_REP_REGION domain-containing protein	Ankyrin_rpt-contain_dom domain-containing protein	35
A0A644F383	GL50803_10016	80.75	Phasin superfamily protein	Thioredoxin domain-containing protein 5 homolog	Phasin superfamily protein	Thioredoxin fold domain-containing protein	Thioredoxin domain-containing protein	284
A0A644F3U0	GL50803_13608	96.23	Acetyl-CoA synthetase	Acetate--CoA ligase [ADP-forming] I	Acetate--CoA ligase (ADP-forming)	Acetate--CoA ligase [ADP-forming]	Succinate--CoA ligase [ADP-forming] subunit beta	343
A0A644F3V4	GL50803_27059	88.95	Proteasome subunit beta	Proteasome subunit beta type-7-A	Adenylate kinase	Proteasome subunit beta type-7-A	Proteasome subunit beta	613
A0A644F3R6	GL50803_16475	67.42	Structure-specific endonuclease subunit SLX1 homolog	Structure-specific endonuclease subunit SLX1	Structure-specific endonuclease subunit SLX1	Structure-specific endonuclease subunit SLX1 homolog	Structure-specific endonuclease subunit SLX1	4
A0A644F2R2	GL50803_13606	47.41	Phosphatidylinositol-4-phosphate 5-kinase	MORN repeat-containing protein 3	MORN repeat-containing protein	MORN repeat-containing 3	1-phosphatidylinositol-4-phosphate 5-kinase	24
A0A644F3D0	GL50803_7397	55.46	Uncharacterized protein	None	Chibby	Chibby homolog 1 (Drosophila)	Chibby family member 1, beta catenin antagonist	4
A0A644F2F6	GL50803_13766	67.47	Ankyrin repeat protein 1	Ankyrin repeat domain-containing protein 6	Ankyrin repeat and SAM domain-containing protein 3	Ankyrin_rpt-contain_dom domain-containing protein	Ankyrin_rpt-contain_dom domain-containing protein	22
A0A644F3V1	GL50803_10870	91.32	aspartate--tRNA ligase	Aspartate--tRNA ligase, cytoplasmic	Aspartate--tRNA ligase, cytoplasmic	Aspartate--tRNA ligase, cytoplasmic	Asparagine--tRNA ligase	546
A0A644F3Z8	GL50803_61210	50.6	IQ calmodulin-binding motif-containing protein	None	IQ calmodulin-binding motif-containing protein	None	IQ calmodulin-binding motif-containing protein	1
A0A644F3P8	GL50803_7988	76.01	Uncharacterized protein	DNA polymerase sliding clamp 1	DNA polymerase sliding clamp	Proliferating cell nuclear antigen	Proliferating cell nuclear antigen	78
A0A644F2D2	GL50803_3720	40.51	Uncharacterized protein	None	None	None	None	0
A0A644F3B0	GL50803_15255	37.34	CCT domain-containing protein	None	None	None	None	0
A0A644F3A6	GL50803_6752	88.28	Rhodanese-like protein	Dual specificity phosphatase Cdc25	Rhodanese domain-containing protein	Unplaced genomic scaffold supercont1.8, whole genome shotgun sequence	tRNA uridine(34) hydroxylase	430
A0A644F2K0	GL50803_61066	77.39	Uncharacterized protein	None	snRNA-activating protein complex subunit 4	None	snRNA-activating protein complex subunit 4	1
A0A644F3T3	GL50803_17094	39.27	Polymerase nucleotidyl transferase domain-containing protein	Non-canonical poly(A) RNA polymerase protein Trf4-1	Terminal uridylyltransferase 7	Polynucleotide adenylyltransferase	PAP-associated domain-containing protein	4
A0A644F3B7	GL50803_21603	66.94	Ankyrin repeat protein 1	None	t-SNARE coiled-coil homology domain-containing protein	Magnesium transporter	t-SNARE coiled-coil homology domain-containing protein	2
A0A644F3F8	GL50803_7953	88.89	ATPase ASNA1 homolog	ATPase ASNA1 homolog	ATPase GET3	ATPase GET3	ArsA_ATPase domain-containing protein	159
A0A644F3W4	GL50803_15256	93.33	Alkyl transferase	Di-trans,poly-cis-undecaprenyl-diphosphate synthase	Alkyl transferase	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	Isoprenyl transferase	599
A0A644F2N0	GL50803_14712	46.97	Uncharacterized protein	None	None	Sorting nexin MVP1	Sorting nexin MVP1	1
